7001,1B59,D,StC EmrgDsp1,St Clair County Emergency Dispatch 1,Emergency Ops,St Clair County  Government  Countywide,3
7002,1B5A,D,StC EmrgDsp2,St Clair County Emergency Dispatch 2,Emergency Ops,St Clair County  Government  Countywide,3
7004,1B5C,D,StC Ops 7004,St Clair County Operations,Interop,St Clair County  Government  Countywide,3
7005,1B5D,D,StC UnfdCmnd,St Clair County Unified Command,Interop,St Clair County  Government  Countywide,3
7006,1B5E,D,StC CoCall 1,St Clair County CountyCalling CENCOM to 911 PSAPs,Interop,St Clair County  Government  Countywide,3
7007,1B5F,D,StC LawCmn 1,St Clair County Law Common 1 ,Law Tac,St Clair County  Government  Countywide,3
7008,1B60,D,StC SpecDisp,St Clair County Special Dispatch,Law Tac,St Clair County  Government  Countywide,3
7009,1B61,D,StC Law c2c,St Clair County Law CartoCar,Law Tac,St Clair County  Government  Countywide,3
7010,1B62,D,StC Common 1,St Clair County County Common 1,Interop,St Clair County  Government  Countywide,3
7011,1B63,D,StC MERCI 3,St Clair County MERCI3 Simulcast County Common 2,Hospital,St Clair County  Government  Countywide,3
7012,1B64,D,StC Common 3,St Clair County County Common 3 ,Interop,St Clair County  Government  Countywide,3
7014,1B66,D,StC FireCmn1,St Clair County County Fire Common 1,Fire-Tac,St Clair County  Government  Countywide,3
7015,1B67,D,StC FireCmn2,St Clair County County Fire Common 2  EMS Common 1,Fire-Tac,St Clair County  Government  Countywide,3
7016,1B68,D,StC DispCmmn,St Clair County County Common Dispatch,Interop,St Clair County  Government  Countywide,3
7017,1B69,D,SCC Sheriff ,St Clair County Sheriff Dispatch 1  Main,Law Dispatch,St Clair County  Law Enforcement,3
7018,1B6A,D,SCCRuralLaw4,St Clair County Law Dispatch 4 Rural Municipalities ,Law Dispatch,St Clair County  Law Enforcement,3
7019,1B6B,D,StClair Fire,St Clair County Fire Dispatch 1  Countywide Patched w 15419 1862,Fire Dispatch,St Clair County  FireEMS,3
7020,1B6C,D,StClair EMS,St Clair County EMS Dispatch Patched w 15516 15528 CSQ,EMS Dispatch,St Clair County  FireEMS,3
7021,1B6D,D,SCCRuralLaw3,St Clair County Law Dispatch 3 Rural Municipalities 15576 Patch,Law Dispatch,St Clair County  Law Enforcement,3
7022,1B6E,D,Centrevil PD,Centreville Police ,Law Dispatch,St Clair County  Law Enforcement,3
7023,1B6F,D,Cahokia Fire,St Clair County Fire Dispatch 2  Cahokia Fire Dupo FireEMS Sauget Fire Simulcast 15434 1862,Fire Dispatch,St Clair County  FireEMS,3
7024,1B70,D,WashPark PD,Washington Park Police,Law Dispatch,St Clair County  Law Enforcement,3
7025,1B71,D,SCC Hospital,St Clair County Hospital Net ,Hospital,St Clair County  FireEMS,3
7026,1B72,D,SCC EMS 7026,St Clair County EMS Operations unid,EMS-Tac,St Clair County  FireEMS,3
